Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
World,"Gross domestic product, constant prices",Percent change,,,2.836,-3.116,5.88,4.889,3.618,3.368,3.304,3.282,
World,"Gross domestic product, constant prices",Percent change (market exchange rates),,,2.462,-3.497,5.697,4.73,3.113,2.814,2.74,2.72,
World,"Gross domestic product, current prices",U.S. dollars,Billions,,"87,390.79","84,971.65","94,935.11","102,404.01","108,582.12","114,673.97","120,937.22","127,390.69",
World,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"134,916.44","131,979.90","144,636.38","155,835.40","165,258.89","174,659.59","184,287.61","194,217.08",
World,"Gross domestic product, deflator","Index, 2000=100",,,,,,,,,,,
World,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,,,,,,,,,
World,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,,,,,,,,,
World,Output gap,Percent of potential GDP,,,,,,,,,,,
World,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,,,,,,,,,
World,Investment,Percent of GDP,,,26.638,26.572,26.789,27.349,27.455,27.493,27.525,27.569,
World,Gross national savings,Percent of GDP,,,27.017,27.177,27.764,28.101,28.118,28.066,28.003,27.97,
World,"Inflation, average consumer prices",Percent change,,,3.465,3.179,4.345,3.813,3.304,3.21,3.16,3.119,
World,"Inflation, end of period consumer prices",Percent change,,,3.824,2.731,4.79,3.438,3.245,3.171,3.141,3.088,
World,Three-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,
World,Trade volume of goods and services,Percent change,,,0.911,-8.243,9.729,6.742,4.519,3.793,3.599,3.581,
World,Volume of imports of goods and services,Percent change,,,0.936,-8.605,10.127,7.212,4.664,3.856,3.663,3.674,
World,Volume of imports of goods,Percent change,,,0.415,-5.196,11.016,6.618,4.108,3.725,3.588,3.603,
World,Volume of exports of goods and services,Percent change,,,0.887,-7.881,9.335,6.273,4.375,3.729,3.534,3.487,
World,Volume of exports of goods,Percent change,,,0.138,-4.591,10.081,5.472,3.938,3.534,3.46,3.441,
World,Terms of trade of goods and services,Percent change,,,,,,,,,,,
World,Terms of trade of goods,Percent change,,,,,,,,,,,
World,Export price of manufactures,"U.S. dollars; index, 2000=100",,,,,,,,,,,
World,Export price of manufactures,U.S. dollars; annual percent change,,,,,,,,,,,
World,Unemployment rate,Percent of total labor force,,,,,,,,,,,
World,Employment,"Index, 2000=100",,,,,,,,,,,
World,General government revenue,Percent of GDP,,,,,,,,,,,
World,General government total expenditure,Percent of GDP,,,,,,,,,,,
World,General government net lending/borrowing,Percent of GDP,,,,,,,,,,,
World,General government structural balance,Percent of potential GDP,,,,,,,,,,,
World,General government primary net lending/borrowing,Percent of GDP,,,,,,,,,,,
World,General government net debt,Percent of GDP,,,,,,,,,,,
World,General government gross debt,Percent of GDP,,,,,,,,,,,
World,Current account balance,U.S. dollars,Billions,,339.123,375.537,569.953,448.038,400.473,347.684,278.57,220.286,
World,Current account balance,Percent of GDP,,,,,,,,,,,
World,Imports of goods and services,U.S. dollars,Billions,,,,,,,,,,
World,Exports of goods and services,U.S. dollars,Billions,,,,,,,,,,
World,Financial account balance,U.S. dollars,Billions,,,,,,,,,,
World,"Direct investment, net",U.S. dollars,Billions,,,,,,,,,,
World,"Portfolio investment, net",U.S. dollars,Billions,,,,,,,,,,
World,"Financial derivatives, net",U.S. dollars,Billions,,,,,,,,,,
World,"Other investment, net",U.S. dollars,Billions,,,,,,,,,,
World,Change in reserves,U.S. dollars,Billions,,,,,,,,,,
World,"External debt, total",U.S. dollars,Billions,,,,,,,,,,
World,"External debt, total",Percent of GDP,,,,,,,,,,,
World,"External debt, total",Percent of exports of goods and services,,,,,,,,,,,
World,"External debt, total debt service",U.S. dollars,Billions,,,,,,,,,,
World,"External debt, total debt service",Percent of GDP,,,,,,,,,,,
World,"External debt, total debt service",Percent of exports of goods and services,,,,,,,,,,,
World,"External debt, total debt service, interest",U.S. dollars,Billions,,,,,,,,,,
World,"External debt, total debt service, interest",Percent of GDP,,,,,,,,,,,
World,"External debt, total debt service, interest",Percent of exports of goods and services,,,,,,,,,,,
World,"External debt, total debt service, amortization",U.S. dollars,Billions,,,,,,,,,,
World,"External debt, total debt service, amortization",Percent of GDP,,,,,,,,,,,
World,"External debt, total debt service, amortization",Percent of exports of goods and services,,,,,,,,,,,
World,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,"Index, 2016=100",,,117.575,105.911,154.694,152.782,144.979,142.085,141.003,140.413,
World,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,"Index, 2016=100",,,108.69,115.95,146.883,145.61,143.496,143.106,143.541,143.854,
World,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,"Index, 2016=100",,,125.561,127.988,182.421,172.691,171.538,170.547,169.968,169.811,
World,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel",U.S. dollars,Units,,61.391,41.287,65.679,64.521,61.306,59.003,57.387,56.302,
World,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",U.S. dollars,Units,,64.032,42.298,66.912,65.932,63.043,60.952,59.428,58.417,
World,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",U.S. dollars,Units,,63.147,42.149,65.478,64.517,61.626,59.535,58.011,57,
World,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",U.S. dollars,Units,,56.995,39.413,64.641,63.113,59.249,56.522,54.722,53.488,
World,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices","Index, 2016=100",,,130.426,91.389,165.993,163.158,147.124,140.609,137.333,135.436,
World,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","Index, 2016=100",,,143.452,96.474,153.413,150.716,143.213,137.838,134.064,131.531,
World,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices","Index, 2016=100",,,92.788,70.784,195.691,187.913,141.469,129.309,126.048,125.525,
World,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",U.S. dollars,Units,,4.449,3.179,11.37,11.039,7.779,6.5,6.13,6.061,
World,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",U.S. dollars,Units,,5.445,4.366,13.683,12.689,9.213,9.213,9.213,9.213,
World,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",U.S. dollars,Units,,2.566,2.01,3.538,3.479,3.038,2.861,2.828,2.829,
World,Commodity Coal Price Index includes Australian and South African Coal,"Index, 2016=100",,,113.955,94.846,188.21,183.698,157.918,152.083,151.907,151.54,
World,"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",U.S. dollars,Units,,82.193,61.983,136.113,132.173,113.096,110.797,110.668,110.461,
World,"Coal, South African export price, US$ per metric tonne",U.S. dollars,Units,,71.265,65.223,117.37,115.179,99.5,94.096,93.988,93.704,
